status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
kept,Training biologists in Unix command-line skills: From curriculum to interactive online tutorials,"Khamvongsa-Charbonnier, Lucie; Aboukhalil, Robert; Chiapello, Helene; Denecker, Thomas; Poulain, Pierre; Puthier, Denis; Sand, Olivier; Thomas-Chollier, Morgane; Toffano-Nioche, Claire",2026,PLOS COMPUTATIONAL BIOLOGY,10.1371/journal.pcbi.1014133,https://www.webofscience.com/wos/woscc/full-record/WOS:001735369900009,cli-education-non-cs,"As the generation of data in the life and health sciences expands rapidly, there is a growing need for professionals and students in these fields to master core bioinformatics skills, particularly those relating to Unix-like systems, most commonly used in bioinformatics. This paper introduces two key contributions to address this need: (1) A Unix curriculum for life scientists with little or no command-line experience, based on progressive Unix skill levels for bioinformatics and (2) An implementation of this curriculum into a series of interactive online tutorials deployed through Sandbox.bio-an open-source platform for learning bioinformatics that embeds a command line in the browser, which removes barriers related to software installation and access. We performed an overall evaluation of this teaching framework in different contexts. This inclusive, sustainable approach provides widespread access to essential bioinformatics skills for life science students and professionals alike.",wos,human,,human,
discarded,Tracking Undergraduate Students' Perception of Early Exposure to Practical Computing Skills Over Time,"Buxton, Tyler; Ellis, Margaret; Hooshangi, Sara",2024,"2024 IEEE FRONTIERS IN EDUCATION CONFERENCE, FIE",10.1109/FIE61694.2024.10893317,https://www.webofscience.com/wos/woscc/full-record/WOS:001447128100362,"perception survey, not misconceptions","This innovative practice full paper describes the impact of early exposure to practical computing skills on students' learning experiences. In a longitudinal study, we evaluated the effects of incorporating co-curricular activities and hands-on skills into the undergraduate Computer Science (CS) curriculum, while also tracking students' sustained interest and utilization of these skills over time. Over a three-year period, more than 900 students majoring in CS were surveyed at the end of a required introductory course (post-course survey) that introduced various computing practical skills. These skills, encompassing topics such as version control, SQL, command line tools, and web development, were strategically integrated into the course to enhance students' engagement and equip them for subsequent co-curricular computing endeavors. Students' interests in these topics were measured at the completion of the course and again re-evaluated during their senior year three years later (senior-year survey). In the senior year, over 500 students responded to the survey. Similar questions related to interest, motivation, and the use of skills were asked in this follow-up survey. The results of the post-course and senior-year surveys were compared at the aggregated level. We were also able to map the responses of 68 students individually and compare their post-course and senioryear survey responses. The results of the individual students were consistent with the overall aggregated data between post-course and senior-year data. Our data analysis offers information on the timing and occasion of students applying practical skills, their sentiments regarding co-curricular activities, and the favorable influence of practical skills on the overall student experience. As students mature and accumulate experiences in their academic journey, their perceptions about these early exposures and practical skills also evolve. By the time they reach their senior year, basic practical skills do not appear as crucial, given their acquired proficiency. Nevertheless, this observation is significant since educators may not always be attuned to the challenges faced by novice students, emphasizing the importance of early exposure. Additionally, our longitudinal results affirms that both the utility and interest levels persist over the span of their undergraduate degree, reinforcing sustained motivation.",wos,human,,human,
kept,ShellOnYou: Learning by Doing Unix Command Line,"Berry, Vincent; Castelltort, Arnaud; Pelissier, Chrysta; Rousseau, Marion; Tibermacine, Chouki",2022,"PROCEEDINGS OF THE 27TH ACM CONFERENCE ON INNOVATION AND TECHNOLOGY IN COMPUTER SCIENCE EDUCATION, ITICSE 2022, VOL 1",10.1145/3502718.3524753,https://www.webofscience.com/wos/woscc/full-record/WOS:001037375600058,shell-teaching-intervention,"We present ShellOnYou, a new Computer Science education tool, and analyze its use with four successive student cohorts.

Developed to help instructors manage numerous students, this web application offers auto-graded exercises to acquire practical knowledge of Unix-like operating systems from the command line. For each answer, and almost instantly, students receive a score and detailed feedback. This reactive and iterative process encourages students to resubmit answers and progressively expand their procedural knowledge. The tool can also deliver individualized statements, thereby allowing students to improve their skills by combining personal research and peer learning. As an online tool, ShellOnYou affords students access flexibility, and also easily fits in distance learning programs. We found it particularly useful when teaching students with heterogeneous Unix backgrounds. The tool is available on request.

We placed four successive student cohorts in a learning situation involving this tool, and asked them to fill a survey at the end of the learning period. We combine qualitative and quantitative methods to analyze their answers to the survey. We attempt to characterize their acquisition of procedural knowledge and the building of group dynamics. Several dimensions emerge: the benefits of using the tool in a learning situation, the learning process iteration as a catalyst for renewed commitment, the tool's entertaining format and its scoring system as a motivation for regular studying, and the inherent customization of the learning pace.",wos,human,,human,
discarded,TermiTeach: Natural Language Command Line Interface Tutoring Via Generative AI Simulations,Singh V.K.,2025,Ised 2025 13th International Conference on Intelligent Systems and Embedded Design Proceedings,10.1109/ISED67359.2025.11405208,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105035834279&origin=inward,"LLM tutoring tool, no learner findings",,wos,human,,human,
kept,Theoretical and practical assessments over SSH,"Costa, Joana Cabral; Roxo, Tiago; Lopes, Carolina; Sequeiros, Joao B. F.; Simoes, Tiago M. C.; Inacio, Pedro R. M.",2023,RESEARCH AND PRACTICE IN TECHNOLOGY ENHANCED LEARNING,10.58459/rptel.2023.18030,https://www.webofscience.com/wos/woscc/full-record/WOS:001398050500041,ssh-assessment-not-learning,"During the COVID-19 pandemic, universities worldwide were forced to close, causing a shift from presential to remote classes. This situation motivated teachers to find suitable tools to evaluate students remotely, fairly, and accurately. However, currently available systems are either survey or exercise evaluation based, not suitable for competency-based assessments. Faced with this context and limitations of available evaluation systems, we developed TestsOverSSH, a system to devise, deliver, and automatically correct assessments performed in a Command Line Interface (CLI) environment. Unique assessments are generated per student when they access the proposed system via Secure SHell (SSH). TestsOverSSH is composed of shell scripts that orchestrate a series of tools and services that come pre-installed in Linux distributions. It can be used to construct multiple-choice or direct answer questions while also requiring students to perform tasks in the environment per se, namely computer programming or CLI manipulation-related assignments. We present examples of the question types in this system, explaining question formats and operating guidelines. Since the assessments are directly performed in the system, logs and command history can be easily retrieved while keeping information within student devices uncollected. We performed evaluations using this system in a real context and obtained student feedback through a custom survey and the System Usability Scale (SUS). Survey results and SUS score suggest that TestsOverSSH is an intuitive evaluation tool, with eased access and usage, making it applicable for e-learning.",wos,human,,human,
kept,Teaching Tip Rethinking How We Teach Git: Pedagogical Recommendations and Practical Strategies for the Information Systems Curriculum,Wagner G.,2025,Journal of Information Systems Education,10.62273/BTKM5634,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216937977&origin=inward,git-pedagogy,,wos,human,,human,
discarded,CEMDA: Detecting Android Complex File Events to Infer the User's Mental Model,"May, Michael J.; Cohen, Yaakov; Menachem, Hovav; Swisa, Yogev",2022,37TH ANNUAL ACM SYMPOSIUM ON APPLIED COMPUTING,10.1145/3477314.3507009,https://www.webofscience.com/wos/woscc/full-record/WOS:000946564100126,overlaps May et al. TOIS 2019; weaker fit,"People use smartphones to do many tasks: view email attachments, read social media posts, create and edit photographs, and forward files. The user's perspective on actions performed when creating, viewing, and modifying files (her mental model) reflects the visible clicks and swipes performed. At the file system and OS, however, such actions are less clear. A single click can lead to a flurry of hundreds of file system reads and writes, system calls, and communication steps. While individual apps can use analytics to record inapp user actions, common patterns such as download-read-forward cross app boundaries and become difficult to discover. That lack leads to inefficiencies in on-device file management and backup.

To better enable apps and devices to discover the user's mental model, we present CEMDA, an Android app that automatically detects the user's mental model by applying the theories of file lifecycle events and complex events. CEMDA detects 12 high level user stories in 4 categories of user actions (create, access, share, modify) while operating completely in user space and without OS modification. CEMDA successfully detects user actions in crossapp actions across popular messaging and productivity apps (e.g., WhatsApp, Adobe Reader) with 80%-100% success while consuming minimal battery and memory.",wos,human,,human,
kept,On the Lifecycle of the File,"May, Michael J.; Laron, Etamar; Zoabi, Khalid; Gerhardt, Havah",2019,ACM TRANSACTIONS ON STORAGE,10.1145/3295463,https://www.webofscience.com/wos/woscc/full-record/WOS:000465601900001,file-mental-models,"Users and Operating Systems (OSs) have vastly different views of files. OSs use files to persist data and structured information. To accomplish this, OSs treat files as named collections of bytes managed in hierarchical file systems. Despite their critical role in computing, little attention is paid to the lifecycle of the file, the evolution of file contents, or the evolution of file metadata. In contrast, users have rich mental models of files: they group files into projects, send data repositories to others, work on documents over time, and stash them aside for future use. Current OSs and Revision Control Systems ignore such mental models, persisting a selective, manually designated history of revisions. Preserving the mental model allows applications to better match how users view their files, making file processing and archiving tools more effective. We propose two mechanisms that OSs can adopt to better preserve the mental model: File Lifecycle Events (FLEs) that record a file's progression and Complex File Events (CFEs) that combine them into meaningful patterns. We present the Complex File Events Engine (CoFEE), which uses file system monitoring and an extensible rulebase (Drools) to detect FLEs and convert them into complex ones. CFEs are persisted in NoSQL stores for later querying.",wos,human,,human,
